genome_id	genome	genus	species
Alteromonas_macleodii_QZ9_9	Alteromonas macleodii QZ9 9	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_83_1	Alteromonas macleodii 83 1	Alteromonas	Alteromonas macleodii
Alteromonas_mediterranea_PT11	Alteromonas mediterranea PT11	Alteromonas	Alteromonas mediterranea
Alteromonas_mediterranea_PT15	Alteromonas mediterranea PT15	Alteromonas	Alteromonas mediterranea
Alteromonas_mediterranea_AltCH17	Alteromonas mediterranea AltCH17	Alteromonas	Alteromonas mediterranea
Alteromonas_sp_BL110	Alteromonas sp. BL110	Alteromonas	Alteromonas sp.
Alteromonas_sp_76_1	Alteromonas sp. 76 1	Alteromonas	Alteromonas sp.
Alteromonas_sp_B31_7	Alteromonas sp. B31 7	Alteromonas	Alteromonas sp.
Alteromonas_sp_KC3	Alteromonas sp. KC3	Alteromonas	Alteromonas sp.
Alteromonas_sp_KC14	Alteromonas sp. KC14	Alteromonas	Alteromonas sp.
Alteromonas_sp_LMIT006	Alteromonas sp. LMIT006	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_REDSEA_S09_B2	Alteromonas macleodii REDSEA S09 B2	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_REDSEA_S10_B9	Alteromonas macleodii REDSEA S10 B9	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_REDSEA_S12_B5	Alteromonas macleodii REDSEA S12 B5	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_REDSEA_S14_B11	Alteromonas macleodii REDSEA S14 B11	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_REDSEA_S15_B11	Alteromonas macleodii REDSEA S15 B11	Alteromonas	Alteromonas macleodii
Alteromonas_sp_ARS20	Alteromonas sp. ARS20	Alteromonas	Alteromonas sp.
Alteromonas_sp_CPC291	Alteromonas sp. CPC291	Alteromonas	Alteromonas sp.
Alteromonas_sp_CPC327	Alteromonas sp. CPC327	Alteromonas	Alteromonas sp.
Alteromonas_sp_EAC615	Alteromonas sp. EAC615	Alteromonas	Alteromonas sp.
Alteromonas_sp_EAC37	Alteromonas sp. EAC37	Alteromonas	Alteromonas sp.
Alteromonas_sp_CPC94	Alteromonas sp. CPC94	Alteromonas	Alteromonas sp.
Alteromonas_sp_MED668	Alteromonas sp. MED668	Alteromonas	Alteromonas sp.
Alteromonas_sp_MED681	Alteromonas sp. MED681	Alteromonas	Alteromonas sp.
Alteromonas_sp_NAT174	Alteromonas sp. NAT174	Alteromonas	Alteromonas sp.
Alteromonas_sp_NP46	Alteromonas sp. NP46	Alteromonas	Alteromonas sp.
Alteromonas_sp_RS411	Alteromonas sp. RS411	Alteromonas	Alteromonas sp.
Alteromonas_sp_NP15	Alteromonas sp. NP15	Alteromonas	Alteromonas sp.
Alteromonas_sp_IN32	Alteromonas sp. IN32	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMN07137114	Alteromonas macleodii BATS HCBNBPJK 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN07136589	Alteromonas macleodii BGEO DDMJICEB 	Alteromonas	Alteromonas macleodii
Alteromonas_mediterranea_SAMN07136708	Alteromonas mediterranea BGEO BAHNCNMJ 	Alteromonas	Alteromonas mediterranea
Alteromonas_australica_SAMN07136708	Alteromonas australica BGEO KMOHFEJM 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMN07136709	Alteromonas sp. BGEO OCCKODGL 	Alteromonas	Alteromonas sp.
