genome_id	genome	genus	species
Alteromonas_australica_SAMEA2622197	Alteromonas australica TARA COANOGOL 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2622197	Alteromonas sp. TARA GALLFCOI 	Alteromonas	Alteromonas sp.
Alteromonas_sp_SAMEA2622219	Alteromonas sp. TARA IJFLGBIM 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622219	Alteromonas macleodii TARA OLKBBLOM 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2622336	Alteromonas macleodii TARA IANBPKNL 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2622357	Alteromonas macleodii TARA MMNPPCIF 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622362	Alteromonas sp. TARA AJKIKLCN 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622376	Alteromonas macleodii TARA BHCALEEO 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622376	Alteromonas sp. TARA LCDBHBPD 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2622402	Alteromonas australica TARA IKPHBABN 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622402	Alteromonas macleodii TARA LANBCGIM 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2622429	Alteromonas macleodii TARA FNNAGCCN 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622429	Alteromonas sp. TARA LGIPLECH 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622478	Alteromonas macleodii TARA OEBMNELG 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2622499	Alteromonas macleodii TARA AGKMCDCN 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622499	Alteromonas australica TARA BNLJGNGC 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622545	Alteromonas macleodii TARA KEGJKDAO 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2622568	Alteromonas macleodii TARA DIBMGPDO 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622652	Alteromonas sp. TARA NHABKKKL 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2622656	Alteromonas australica TARA ONBBOINN 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2622658	Alteromonas sp. TARA OHKNJPFH 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2622673	Alteromonas australica TARA KABGAJCP 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2622676	Alteromonas sp. TARA BIMHMBHP 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622676	Alteromonas macleodii TARA KGFLKMBD 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622677	Alteromonas sp. TARA JBANDMDG 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622677	Alteromonas macleodii TARA NFILEFMO 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622678	Alteromonas australica TARA EMNMIPDN 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622678	Alteromonas macleodii TARA NJLMMAFG 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622690	Alteromonas australica TARA DLAHHAJP 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2622690	Alteromonas sp. TARA ILHJBOEO 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622694	Alteromonas macleodii TARA CCCHGPBM 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622694	Alteromonas sp. TARA CMKJNKIK 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMN05326644	Alteromonas australica TARA PON00061	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMN05326645	Alteromonas sp. TARA PSE00118	Alteromonas	Alteromonas sp.
Alteromonas_sp_SAMN05326649	Alteromonas sp. TARA SOC00002	Alteromonas	Alteromonas sp.
Alteromonas_mediterranea_SAMN05326650	Alteromonas mediterranea TARA MED00137	Alteromonas	Alteromonas mediterranea
Alteromonas_macleodii_SAMEA2622696	Alteromonas macleodii TARA PINHKBMF	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622716	Alteromonas australica TARA EODCONKG	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622716	Alteromonas macleodii TARA FPHJFONJ	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622716	Alteromonas sp. TARA LLMPBKJB	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622733	Alteromonas macleodii TARA LJOLBPGP	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622733	Alteromonas sp. TARA NOPBGIBP	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622736	Alteromonas macleodii TARA KEKDHEDF	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622737	Alteromonas australica TARA EHIMIIMP	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2622737	Alteromonas sp. TARA KJIKBCNM	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622737	Alteromonas macleodii TARA MKACOKCB	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2622738	Alteromonas macleodii TARA BIOCPOLN	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622738	Alteromonas australica TARA JDKGJOOG	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622763	Alteromonas macleodii TARA MBGICCKG	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2622765	Alteromonas macleodii TARA HBCOMCNP	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622765	Alteromonas sp. TARA KBIKNAHF	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622799	Alteromonas macleodii TARA POKHDFDG	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2622800	Alteromonas macleodii TARA PLGNBFNB	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622801	Alteromonas sp. TARA IFPFBHNC	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2622801	Alteromonas australica TARA LFPDDPPB	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622801	Alteromonas macleodii TARA OACOIKDG	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2622821	Alteromonas macleodii TARA DGNNOPLM	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2622823	Alteromonas macleodii TARA GLPNBIDC	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622823	Alteromonas australica TARA PBNJCJBB	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622837	Alteromonas macleodii TARA AJLMAJKC	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622843	Alteromonas sp. TARA DPGBJJPG	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622843	Alteromonas macleodii TARA KKMNMCOG	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622923	Alteromonas australica TARA FFMAPNPA	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2622923	Alteromonas sp. TARA HGEKPCMK	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622923	Alteromonas macleodii TARA PHDMIKKF	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2623098	Alteromonas macleodii TARA BOAFAAIF	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2623098	Alteromonas sp. TARA EGJHKEDJ	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2623135	Alteromonas australica TARA DJILNNCH	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2623155	Alteromonas macleodii TARA HDJJLLJM	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2623295	Alteromonas australica TARA JAJGGAMP	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2623295	Alteromonas macleodii TARA KGDGGJKN	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2623314	Alteromonas macleodii TARA CFMLMODN	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2623314	Alteromonas sp. TARA DIEBDOOH	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2623314	Alteromonas australica TARA DPHFBFLK	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2623370	Alteromonas macleodii TARA BGGPHFHM	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2623390	Alteromonas macleodii TARA LDEBDOEH	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2623426	Alteromonas australica TARA KGGHKKNJ	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2623513	Alteromonas macleodii TARA EOFNCJHB	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2623513	Alteromonas australica TARA PGGKNGAJ	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2623649	Alteromonas macleodii TARA NIKIPLNN	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2623756	Alteromonas macleodii TARA DMBINDKP	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2623794	Alteromonas australica TARA GMMKMDFK	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2623794	Alteromonas macleodii TARA NBFOODCE	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2623826	Alteromonas australica TARA OCIHHAIO	Alteromonas	Alteromonas australica
Alteromonas_naphthalenivorans_SAMEA4396515	Alteromonas naphthalenivorans TARA LLIFOMKD	Alteromonas	Alteromonas naphthalenivorans
Alteromonas_naphthalenivorans_SAMEA4397023	Alteromonas naphthalenivorans TARA BMLDLMJI	Alteromonas	Alteromonas naphthalenivorans
Alteromonas_naphthalenivorans_SAMEA4397091	Alteromonas naphthalenivorans TARA OHBHGPGP	Alteromonas	Alteromonas naphthalenivorans
Alteromonas_naphthalenivorans_SAMEA4397157	Alteromonas naphthalenivorans TARA EIKGCICO	Alteromonas	Alteromonas naphthalenivorans
Alteromonas_naphthalenivorans_SAMEA4397278	Alteromonas naphthalenivorans TARA MPBNPLCD	Alteromonas	Alteromonas naphthalenivorans
Alteromonas_naphthalenivorans_SAMEA4397516	Alteromonas naphthalenivorans TARA ODHMDPHJ	Alteromonas	Alteromonas naphthalenivorans
Alteromonas_naphthalenivorans_SAMEA4397536	Alteromonas naphthalenivorans TARA JOOLCOKF	Alteromonas	Alteromonas naphthalenivorans
Alteromonas_naphthalenivorans_SAMEA4398001	Alteromonas naphthalenivorans TARA GALICGPG	Alteromonas	Alteromonas naphthalenivorans
Alteromonas_naphthalenivorans_SAMEA4398193	Alteromonas naphthalenivorans TARA IINLEEHA	Alteromonas	Alteromonas naphthalenivorans
Alteromonas_sp_SAMN05326640	Alteromonas sp. TARA ANE00087	Alteromonas	Alteromonas sp.
